FID,Id,Name,zone,owner,resp_pers,height,floor,area_sqm,bldg_m,3d_model,lat,long,attach
0,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03244641,99.88865615,
1,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03216555,99.88864426,
2,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03188469,99.88864426,
3,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03160383,99.88866803,
4,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03133421,99.88863238,
5,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03097471,99.88864426,
6,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03067138,99.88862049,
7,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03043545,99.88860861,
8,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03244641,99.88926223,
9,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03215432,99.88926223,
10,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03160383,99.88921469,
11,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03131174,99.88922658,
12,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.030941,99.88922658,
13,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03069384,99.88920281,
14,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03040175,99.88920281,
15,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03016582,99.88920281,
16,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,32,6,3600,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.02991867,99.88919093,
17,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03243518,99.89018918,
18,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03216555,99.89022483,
19,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03171618,99.89018918,
20,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03145779,99.89018918,
21,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03116569,99.89018918,
22,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03089606,99.89018918,
23,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.0305478,99.89015353,
24,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03031187,99.89015353,
25,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03171618,99.8909141,
26,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03143532,99.89093787,
27,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03113199,99.89092599,
28,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03052533,99.8907715,
29,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.0302894,99.8907715,
30,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03158136,99.89178163,
31,0,หอพัก UP Dorm ม.พะเยา,C,สำนักกิจการนักศึกษา,สำนักกิจการนักศึกษา,21,5,3100,อาคาร คสล,http://potree.org/potree/examples/showcase/westend_palais.html,19.03128927,99.89172221,
32,0,ศูนย์อาหารเวียงพ, , , ,0,0,0, , ,19.03243518,99.89109236,
33,0,โรงอาหาร ม.พะเยา, , , ,0,0,0, , ,19.02653255,99.8935571,
34,0, , , , ,0,0,0, , ,19.02655053,99.89448881,
35,0, , , , ,0,0,0, , ,19.02624494,99.89456486,
36,0,คณะรัฐศาสตร์และส, , , ,0,0,0, , ,19.02593037,99.89460289,
37,0,คณะนิติศาสตร์, , , ,0,0,0, , ,19.02615506,99.89518283,
38,0, , , , ,0,0,0, , ,19.02666737,99.8952684,
39,0, , , , ,0,0,0, , ,19.02678421,99.89493564,
40,0, , , , ,0,0,0, , ,19.02720663,99.89288209,
41,0, , , , ,0,0,0, , ,19.02749424,99.89308174,
42,0, , , , ,0,0,0, , ,19.02755716,99.89350006,
43,0, , , , ,0,0,0, , ,19.02690105,99.89258737,
44,0, , , , ,0,0,0, , ,19.02690105,99.89258737,ฟa
45,0, , , , ,0,0,0, , ,19.02657749,99.8924923,ฟ ,
46,0, , , , ,0,0,0, , ,19.02777286,99.89422261,
47,0, , , , ,0,0,0, , ,19.02865366,99.89406098,
48,0,หอประชุม,E,หอประชุมพญางำเมื,อธิการบดี,22,4,22000,อาคาร คสล,http://potree.org/potree/examples/showcase/subsea_equipment.html,19.02809642,99.89587686,
49,0,หอประชุม,E,หอประชุมพญางำเมื,อธิการบดี,22,4,22000,อาคาร คสล,http://potree.org/potree/examples/showcase/subsea_equipment.html,19.02841998,99.89641877,
50,0,หอประชุม,E,หอประชุมพญางำเมื,อธิการบดี,22,4,22000,อาคาร คสล,http://potree.org/potree/examples/showcase/subsea_equipment.html,19.02879746,99.89747406,
51,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.02961533,99.89546805,
52,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.02982205,99.89533495,
53,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.0301456,99.89508776,
54,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03035232,99.89490712,
55,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03055903,99.89475501,
56,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03077473,99.89459339,
57,0,ศูนย์บรรณสารและก, , , ,0,0,0, , ,19.0312331,99.89418458,
58,0, , , , ,0,0,0, , ,19.03178134,99.89491663,
59,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03127804,99.89533495,
60,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03108031,99.89546805,
61,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03083765,99.89563918,
62,0,อาคารเรียนรวม CE,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03065789,99.89578178,
63,0,คณะวิทยาศาสตร์กา,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.03044219,99.89602897,
64,0,หอประชุม,E,หอประชุมพญางำเมื,อธิการบดี,22,4,22000,อาคาร คสล,http://potree.org/potree/examples/showcase/subsea_equipment.html,19.02877948,99.89665645,
65,0,หอประชุม,E,หอประชุมพญางำเมื,อธิการบดี,22,4,22000,อาคาร คสล,http://potree.org/potree/examples/showcase/subsea_equipment.html,19.02846491,99.89683708,
66,0,อาคาร 99 ปี พระอุบาล, , , ,0,0,0, , ,19.03241945,99.89460289,
67,0,อาคาร 99 ปี พระอุบาล, , , ,0,0,0, , ,19.03205995,99.89557263,
68,0,คณะวิทยาศาสตร์,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,29,9,7600,อาคาร คสล,http://potree.org/potree/examples/showcase/chiller.html,19.03197906,99.89635222,
69,0,คณะวิทยาศาสตร์,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,29,9,7600,อาคาร คสล,http://potree.org/potree/examples/showcase/chiller.html,19.03162855,99.89656137,
70,0,คณะวิทยาศาสตร์,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,29,9,7600,อาคาร คสล,http://potree.org/potree/examples/showcase/chiller.html,19.03134994,99.89675152,
71,0,คณะวิทยาศาสตร์,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,29,9,7600,อาคาร คสล,http://potree.org/potree/examples/showcase/chiller.html,19.03108031,99.89696068,
72,0,คณะวิทยาศาสตร์,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,29,9,7600,อาคาร คสล,http://potree.org/potree/examples/showcase/chiller.html,19.03081967,99.89713181,
73,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03170045,99.89771174,
74,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03138589,99.89775928,
75,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03189817,99.89836774,
76,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03160159,99.89841528,
77,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03111626,99.8984533,
78,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03156564,99.89908078,
79,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03186222,99.89903324,
80,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03214982,99.89901423,
81,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03215881,99.89967973,
82,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03181729,99.89972727,
83,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.031305,99.89978431,
84,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.032024,99.90032622,
85,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03171842,99.90037376,
86,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03199704,99.90100123,
87,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03149374,99.90106778,
88,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03121512,99.90147659,
89,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03189817,99.90160969,
90,0,อาคารเรียนรวม,B,มหาวิทยาลัยพะเยา,อธิการบดี,33,10,15000,อาคาร คสล,http://potree.org/potree/examples/showcase/pompei.html,19.03171842,99.90189491,
91,0,เฟรช มาร์ท, , , ,0,0,0, , ,19.0317892,99.88918142,
92,0,คณะวิทยาศาสตร์กา,A,คณะวิทยาศาสตร์,คณะวิทยาศาสตร์,26,6,6600,อาคาร คสล,http://potree.org/potree/examples/showcase/land_building.html,19.0302175,99.89628329,